system:index,count,year,.geo
0,81,1975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9,1980,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,13,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,20,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,9,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,32,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,19,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,45,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,19,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,23,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,16,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,21,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,20,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,13,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
